sub_type_id,sub_type,major_type_id,major_type,row_count
SB001,타워크레인(T형),MJ001,가설공사,43
SB002,타워크레인(L형),MJ001,가설공사,42
SB003,대형크레인,MJ001,가설공사,20
SB004,건설작업용 리프트,MJ001,가설공사,52
SB005,낙하물방지망 설치,MJ001,가설공사,21
SB006,낙하물방지망 해체,MJ001,가설공사,14
SB007,방호선반 설치,MJ001,가설공사,15
SB008,방호선반 해체,MJ001,가설공사,9
SB009,수직보호망,MJ001,가설공사,5
SB010,수직보호망(갱폼),MJ001,가설공사,8
SB011,수직보호망(계단연창),MJ001,가설공사,10
SB012,안전난간대 설치,MJ001,가설공사,12
SB013,안전난간대 해체,MJ001,가설공사,6
SB014,추락방지망 설치,MJ001,가설공사,11
SB015,추락방지망 해체,MJ001,가설공사,7
SB016,엘리베이터 개구부,MJ001,가설공사,28
SB017,엘리베이터 철근절단,MJ001,가설공사,21
SB018,시스템 동바리,MJ001,가설공사,22
SB019,시스템 비계,MJ001,가설공사,22
SB020,비계 설치,MJ001,가설공사,27
SB021,비계 해체,MJ001,가설공사,14
SB022,가교,MJ001,가설공사,15
SB023,가설펜스,MJ001,가설공사,16
SB024,가설사무실 설치,MJ001,가설공사,27
SB025,가설분전함 설치,MJ001,가설공사,19
SB026,가설방음벽,MJ001,가설공사,23
SB027,가설용수,MJ001,가설공사,15
SB028,항타기 조립/해체,MJ002,파일공사,18
SB029,강관파일 항타,MJ002,파일공사,23
SB030,PHC 파일 항타,MJ002,파일공사,16
SB031,PC공사,MJ003,PC공사,29
SB032,데크플레이트,MJ004,철골공사,21
SB033,철골,MJ004,철골공사,26
SB034,콘크리트 면 보양,MJ005,골조(콘크리트),10
SB035,동절기 보온,MJ005,골조(콘크리트),16
SB036,레미콘 타설,MJ005,골조(콘크리트),24
SB037,영구배수,MJ005,골조(콘크리트),13
SB038,CPB 설치 해체,MJ005,골조(콘크리트),17
SB039,압송관 설치 해체,MJ005,골조(콘크리트),11
SB040,보 슬래브,MJ006,골조(형틀),55
SB041,옹벽 형틀,MJ006,골조(형틀),22
SB042,AL폼,MJ006,골조(형틀),39
SB043,갱폼 케이지,MJ006,골조(형틀),16
SB044,갱폼 인양,MJ006,골조(형틀),20
SB045,갱폼 해체,MJ006,골조(형틀),14
SB046,"ACS, RCS",MJ006,골조(형틀),23
SB047,철근 가공,MJ007,골조(철근),14
SB048,철근 양중,MJ007,골조(철근),11
SB049,철근 배근,MJ007,골조(철근),44
SB050,조적,MJ008,습식공사,19
SB051,경량기포 콘크리트,MJ008,습식공사,8
SB052,시멘트 액체 방수,MJ008,습식공사,15
SB053,비노출 우레탄 방수,MJ008,습식공사,25
SB054,노출 우레탄 방수,MJ008,습식공사,16
SB055,침투식 액체 방수,MJ008,습식공사,17
SB056,주차장 에폭시 방수,MJ008,습식공사,15
SB057,아스팔트 방수,MJ008,습식공사,26
SB058,크랙 보수,MJ008,습식공사,10
SB059,타일,MJ008,습식공사,19
SB060,견출,MJ008,습식공사,21
SB061,그라인딩,MJ008,습식공사,10
SB062,방바닥 미장,MJ008,습식공사,16
SB063,미장,MJ008,습식공사,22
SB064,석공사 벽체,MJ009,마감공사,23
SB065,석공사 바닥,MJ009,마감공사,15
SB066,경량 천정 틀,MJ009,마감공사,10
SB067,석고보드 붙이기,MJ009,마감공사,16
SB068,DRY WALL,MJ009,마감공사,10
SB069,온돌 마루,MJ009,마감공사,10
SB070,도배,MJ009,마감공사,17
SB071,외부 로프,MJ009,마감공사,10
SB072,금속 기와,MJ009,마감공사,17
SB073,유리,MJ009,마감공사,19
SB074,주방 가구,MJ009,마감공사,21
SB075,발코니 난간,MJ009,마감공사,7
SB076,테라조,MJ009,마감공사,13
SB077,도장,MJ009,마감공사,28
SB078,코킹,MJ009,마감공사,11
SB079,일반가구,MJ009,마감공사,16
SB080,시스템 가구,MJ009,마감공사,12
SB081,마루,MJ009,마감공사,8
SB082,준공청소,MJ009,마감공사,13
SB083,트러스,MJ010,금속공사,18
SB084,금속 판넬,MJ010,금속공사,12
SB085,하지철물,MJ010,금속공사,10
SB086,현관문,MJ011,창호공사,16
SB087,ST'L 도어,MJ011,창호공사,8
SB088,AL창호 일반,MJ011,창호공사,18
SB089,AL창호 계단,MJ011,창호공사,20
SB090,목창호,MJ011,창호공사,17
SB091,PL창호,MJ011,창호공사,16
SB092,외장 UNIT타입,MJ011,창호공사,13
SB093,벌개제근 및 벌목,MJ012,토공 및 가시설,20
