# [검증 필요-가상코드] 모든 erp_code 는 실 ERP 코드가 아닌 PoC 가상 코드다. 운영 전환 전 ERP 마스터 추출로 교체 필수.
# [검증 필요] 세부항목 ERP 코드화 여부 미확정. erp_detail_codeable=N 이면 ERP 등록은 중공종 코드까지만 전송 + 세부는 detail_text 필드로.
jha_detail_item_id,erp_detail_code,detail_item_norm,jha_sub_type_id,erp_sub_code,sub_type_norm,jha_major_type_id,erp_major_code,row_count,erp_detail_codeable,map_status,note
DT0001,HBC-DT-0001,작업 전 준비,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0002,HBC-DT-0002,자재 반입 및 하역,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0003,HBC-DT-0003,기초 및 앙카 설치,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0004,HBC-DT-0004,보조 크레인 양중,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0005,HBC-DT-0005,Basic Mast 설치,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0006,HBC-DT-0006,Turn Table 설치,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0007,HBC-DT-0007,COUNTER JIB/FRONT JIB 설치,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0008,HBC-DT-0008,후크설치 및 와이어링,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0009,HBC-DT-0009,코핑게이지와 턴테이블 연결,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0010,HBC-DT-0010,유압실린더 작동 마스트 상승/연결,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0011,HBC-DT-0011,타워크레인 사용,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,12,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0012,HBC-DT-0012,타워크레인 해체,SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0013,HBC-DT-0013,작업 전 준비,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0014,HBC-DT-0014,자재 반입 및 하역,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0015,HBC-DT-0015,기초 및 앙카 설치,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0016,HBC-DT-0016,보조 크레인 양중,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0017,HBC-DT-0017,Basic Mast 설치,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0018,HBC-DT-0018,Turn Table 설치,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,2,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0019,HBC-DT-0019,COUNTER JIB/FRONT JIB 설치,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0020,HBC-DT-0020,후크설치 및 와이어링,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,3,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0021,HBC-DT-0021,코핑게이지와 턴테이블 연결,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,1,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0022,HBC-DT-0022,유압실린더 작동 마스트 상승/연결,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,4,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
DT0023,HBC-DT-0023,타워크레인 사용,SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,12,PENDING_VERIFY,PENDING_VERIFY,복합키 기반 내부코드. ERP 미코드화 시 중공종까지만 등록
