# [검증 필요-가상코드] 모든 erp_code 는 실 ERP 코드가 아닌 PoC 가상 코드다. 운영 전환 전 ERP 마스터 추출로 교체 필수.
jha_major_type_id,erp_major_code,major_type_norm,row_count,map_status,note
MJ001,HBC-MJ-001,가설공사,524,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ002,HBC-MJ-002,파일공사,57,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ003,HBC-MJ-003,PC공사,29,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ004,HBC-MJ-004,철골공사,47,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ005,HBC-MJ-005,골조(콘크리트),91,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ006,HBC-MJ-006,골조(형틀),189,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ007,HBC-MJ-007,골조(철근),69,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ008,HBC-MJ-008,습식공사,239,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ009,HBC-MJ-009,마감공사,276,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ010,HBC-MJ-010,금속공사,40,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ011,HBC-MJ-011,창호공사,108,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ012,HBC-MJ-012,토공 및 가시설,451,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ013,HBC-MJ-013,부대토목,105,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ014,HBC-MJ-014,조경 및 시설물,87,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ015,HBC-MJ-015,전기/통신,209,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ016,HBC-MJ-016,소방/기계설비,262,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ017,HBC-MJ-017,토목 전문공사,1352,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ018,HBC-MJ-018,기타공사,79,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ019,HBC-MJ-019,공통 일반,122,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
MJ020,HBC-MJ-020,재해 사례,133,PENDING_VERIFY,1:1 수작업 확정 후보(20종)
